Current.State,tot.Estimate,tot.MOE,AL.Estimate,AL.MOE,AK.Estimate,AK.MOE,AZ.Estimate,AZ.MOE,AR.Estimate,AR.MOE,CA.Estimate,CA.MOE,CO.Estimate,CO.MOE,CT.Estimate,CT.MOE,DE.Estimate,DE.MOE,DC.Estimate,DC.MOE,FL.Estimate,FL.MOE,GA.Estimate,GA.MOE,HI.Estimate,HI.MOE,ID.Estimate,ID.MOE,IL.Estimate,IL.MOE,IN.Estimate,IN.MOE,IO.Estimate,IO.MOE,KS.Estimate,KS.MOE,KY.Estimate,KY.MOE,LA.Estimate,LA.MOE,ME.Estimate,ME.MOE,MD.Estimate,MD.MOE,MA.Estimate,MA.MOE,MI.Estimate,MI.MOE,MN.Estimate,MN.MOE,MS.Estimate,MS.MOE,MO.Estimate,MO.MOE,MT.Estimate,MT.MOE,NE.Estimate,NE.MOE,NV.Estimate,NV.MOE,NH.Estimate,NH.MOE,NJ.Estimate,NJ.MOE,NM.Estimate,NM.MOE,NY.Estimate,NY.MOE,NC.Estimate,NC.MOE,ND.Estimate,ND.MOE,OH.Estimate,OH.MOE,OK.Estimate,OK.MOE,OR.Estimate,OR.MOE,PA.Estimate,PA.MOE,RI.Estimate,RI.MOE,SC.Estimate,SC.MOE,SD.Estimate,SD.MOE,TN.Estimate,TN.MOE,TX.Estimate,TX.MOE,UT.Estimate,UT.MOE,VT.Estimate,VT.MOE,VA.Estimate,VA.MOE,WA.Estimate,WA.MOE,WV.Estimate,WV.MOE,WI.Estimate,WI.MOE,WY.Estimate,WY.MOE,PR.Estimate,PR.MOE
Alabama,"119,421","10,347",N/A,N/A,780,281,"4,470","3,225","1,584",719,"4,921","1,888","1,601",683,283,227,330,406,273,380,"17,515","3,402","19,270","4,159",775,604,105,192,"3,362","1,248","1,488","1,085",151,149,373,493,"1,806",893,"2,410","1,495",0,210,457,502,504,432,"1,858","1,803","1,224",898,"8,391","2,393","1,983","1,706",347,518,295,445,"1,456","1,165",152,248,548,551,600,679,"2,701","1,617","3,656","1,539",128,141,"1,993","1,072",481,361,"1,416","1,012","1,341",875,213,362,"1,642",798,62,81,"12,640","2,750","7,504","2,161",497,428,0,210,"3,171","1,933","1,586","1,665",311,357,718,394,49,85,415,490
Alaska,"30,676","4,209",204,312,N/A,N/A,618,650,159,265,"4,697","2,994","1,087",570,0,170,258,195,220,236,"1,380",894,411,664,"1,023","1,293",803,541,73,130,486,387,33,61,"1,200","1,081",781,"1,146",198,240,0,170,201,200,353,450,152,240,611,365,174,248,107,125,936,778,387,339,98,89,18,24,513,362,22,28,"1,232",923,"1,410","1,123",156,231,601,535,275,429,"3,187","1,614",213,348,0,170,211,281,94,97,340,"1,119",980,697,561,349,45,74,"1,331","1,584","2,283",952,0,170,34,44,520,523,192,324
Arizona,"256,203","16,154","1,373",839,"2,017",768,N/A,N/A,"1,896","1,024","54,222","7,111","8,344","2,224","1,085",800,514,341,74,130,"12,762","3,520","6,326","3,652","2,226","1,047","5,132","1,631","9,030","2,564","2,974","1,466","6,805","3,285","3,383","1,608","1,666","1,039","2,514","1,631",350,353,"1,972","1,477","3,316","1,341","6,740","2,644","5,582","1,677",816,"1,065","7,390","3,434","2,261","1,014","2,694","1,352","6,341","2,195",612,701,"2,082","1,619","6,397","2,995","7,627","3,017","3,646","1,819",424,335,"3,091","1,286","2,925","1,475","10,465","4,633","4,780","2,108",145,299,"1,186",785,"1,892",962,"4,498","2,325","16,779","3,588","5,766","2,330",242,240,"4,441","1,507","12,844","3,101",40,63,"4,015","1,426","2,501","1,315",0,232
Arkansas,"73,123","7,893","1,056",716,17,29,"1,112",659,N/A,N/A,"6,320","2,231","3,878","2,730",3,7,0,208,49,83,"4,555","1,809","2,117","1,309",319,383,170,199,"1,591","1,167",462,356,"1,077",792,"2,343","1,564",137,195,"2,321",966,30,61,109,160,220,231,210,174,"1,051","1,072","1,129",641,"8,714","2,562","1,334","1,530",251,253,"1,183",937,0,208,806,645,396,487,452,430,"2,433","1,520",0,208,463,504,"3,904","1,379",122,185,498,590,0,208,288,411,539,519,"2,959","1,186","13,652","2,702",362,407,0,208,659,645,"3,093","2,026",78,86,661,586,0,208,210,359
California,"422,075","16,415","2,123",800,"1,210",741,"21,152","3,768","2,092","1,499",N/A,N/A,"14,784","3,447","3,113","1,333",772,589,"4,590","2,031","19,149","2,932","11,229","2,636","8,094","2,145","2,646","1,096","21,982","4,192","4,531","1,487","4,250","1,811","3,207","1,647","2,308",980,"4,522","3,149","1,003",759,"10,107","2,555","10,101","2,157","12,054","3,747","2,705",948,"3,133","1,679","6,400","1,884",656,501,"2,606","1,241","22,218","3,011","1,202",667,"12,458","3,737","4,784","1,730","35,062","5,747","8,924","2,421",10,1,"7,434","2,198","2,541","1,230","22,162","4,146","8,730","1,862","1,050",615,"5,346","1,686",629,458,"5,343","1,931","38,732","5,272","10,939","3,733","1,012",863,"15,837","3,530","32,218","3,972","1,125","1,062","2,634","1,287","1,166",641,"1,119",700
Colorado,"232,663","13,472","3,745","2,629","1,452",877,"12,378","3,945","1,435",670,"26,148","4,836",N/A,N/A,"1,875",875,120,199,"1,319",972,"12,786","2,960","6,522","1,968","3,347","1,476","3,480","1,682","8,941","2,473","2,612","1,002","3,407","1,276","4,387","1,671","1,015",695,"2,227",815,628,455,"3,553","1,766","2,885","1,170","2,922","1,198","3,830","1,746",590,685,"4,858","1,702","2,294",985,"4,126","2,955","1,896","1,016",252,269,"1,154",616,"6,030","1,846","6,295","1,563","10,351","3,078",582,323,"6,289","2,486","2,980","1,512","3,690","1,584","5,109","1,837",0,220,"1,813",910,"1,190",863,"4,670","2,020","32,150","6,270","4,336","1,969",327,335,"9,719","2,737","6,010","1,983",77,23,"2,698","1,170","2,163",815,335,395
Connecticut,"94,990","9,089",788,"1,003",11,27,657,431,80,147,"4,972","1,503",591,396,N/A,N/A,32,70,327,287,"7,435","2,404","2,514","2,458",725,746,0,222,"1,522",904,446,389,0,222,363,318,397,635,357,355,601,477,"1,412",816,"13,428","3,633",975,651,681,335,364,330,110,191,101,167,252,329,781,514,878,594,"5,379","2,151",53,88,"28,181","4,927","1,220",892,0,222,414,284,170,173,0,222,"4,858","1,414","4,299","1,173","1,146",595,0,222,"2,508","2,557","2,678","1,231",84,149,557,378,"1,947","1,599",654,535,0,222,42,73,0,222,486,378
Delaware,"39,006","5,129",12,24,59,98,476,630,372,371,516,425,212,265,369,270,N/A,N/A,430,319,"1,763",767,249,418,0,204,33,60,193,181,0,204,212,344,0,204,0,204,0,204,174,211,"7,829","1,771",465,441,82,110,180,237,70,104,105,135,235,324,0,204,118,147,0,204,"4,041","1,505",214,321,"2,552","1,072","1,563","1,028",0,204,0,204,0,204,0,204,"13,350","4,043",187,327,385,333,0,204,629,799,400,360,33,55,0,204,882,501,274,462,0,204,342,391,0,204,0,204
District of Columbia,"56,860","5,761",423,357,0,244,242,252,0,244,"2,976","1,235",376,285,760,375,111,126,N/A,N/A,"1,856",683,"1,537",626,53,93,0,244,770,587,"1,010",809,0,244,0,244,168,210,"1,130",971,"1,190","1,230","12,647","3,391","2,685",752,"1,490",772,394,283,130,219,365,229,22,50,58,94,56,97,14,2,"2,071",733,48,82,"4,766","1,481","1,423",655,126,10,"1,248",669,476,453,794,645,"3,085","1,282",369,392,514,416,0,244,622,407,"2,631","1,379",207,191,86,119,"7,085","1,607",443,299,100,146,303,270,0,244,226,221
Florida,"636,933","25,005","13,789","3,592","2,280","1,039","8,361","2,134","4,025","1,683","39,052","8,301","13,264","4,543","15,743","4,429","1,739",763,"1,691",884,N/A,N/A,"44,469","6,762","3,294","1,819",913,711,"27,109","4,300","14,939","3,031","4,367","1,469","5,297","2,194","9,814","3,164","6,194","2,180","3,831","1,786","17,439","3,077","24,002","4,988","26,512","4,747","8,274","2,216","4,750","1,554","7,814","2,281","1,030",819,"1,317","1,024","5,632","1,683","5,012","1,944","33,226","6,199","2,416","1,079","71,138","7,109","25,290","5,162","1,189",935,"18,543","3,090","5,488","2,421","2,310","1,151","27,770","4,307","3,400","1,407","14,066","3,716",555,437,"15,663","4,024","37,781","6,941","3,733","1,556","1,739","1,453","28,226","5,524","9,009","2,215","4,044","2,246","9,232","2,055",162,274,"12,534","3,392"
