HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,LATITUDE,LONGITUDE,FIPS2020,N_UNITS,LI_UNITS,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,FMHA_515,CREDIT,HOME_AMT,CDBG_AMT,HPVI_AMT,NONPROG,
"PAA00000001","328 N HOLLY (IMANI)","328 N HOLLY ST","PHILADELPHIA",PA,"19104",39.959195,-75.205986,"42101009200",1,,8888,8888,,,,,,,,,,
"PAA00000003","400 MAIN","400 MAIN ST","TOWANDA",PA,"18848",41.766197,-76.443326,"42015951000",38,,8888,2013,,,,,,,,,,
"PAA00000004","509 ASHBOURNE ROAD","1509 ASHBOURNE RD","ELKINS PARK",PA,"19027",40.070389,-75.131732,"42091202302",85,,8888,8888,,,,,,,,,,
"PAA00000006","9TH & BERKS STREET TOD","1900 N NINTH ST","PHILADELPHIA",PA,"19122",39.980685,-75.148969,"42101037700",53,,8888,2011,,,,,,,,,,
"PAA00000007","AARON MICHAELS PLACE","","ERIE",PA,"",,,"42XXXXXXXXX",18,,8888,8888,,,,,,,,,,
"PAA00000008","ABC TAMAQUA HI-RISE","222 E BROAD ST","TAMAQUA",PA,"18252",40.797236,-75.966902,"42107002700",106,,8888,8888,,,,,,,,,,
"PAA00000009","ADDISON TERRACE PHASE 1","2136 ELMORE SQ","PITTSBURGH",PA,"",,,"42XXXXXXXXX",80,,8888,2012,,,,,,,,,,
"PAA00000011","ALLEGHENY COMMONS EAST","255 E OHIO ST","PITTSBURGH",PA,"15212",40.452897,-80.002987,"42003562700",130,,8888,2003,,,,,,,,,,
"PAA00000012","ALLENTOWN NATIONAL BANK","15 N SEVENTH ST","ALLENTOWN",PA,"18101",40.602868,-75.471725,"42077009700",63,,8888,2004,,,,,,,,,,
"PAA00000013","ALLEQUIPPA TERRACE PHASE 1A","","PITTSBURGH",PA,"15221",40.4366,-79.8777,"42003564700",201,,8888,8888,,,,,,,,,,
"PAA00000014","ALLEQUIPPA TERRACE PHASE 1B","","PITTSBURGH",PA,"",,,"42XXXXXXXXX",104,,8888,8888,,,,,,,,,,
"PAA00000015","ALLISON HILL SOUTH","","HARRISBURG",PA,"17102",40.27,-76.9032,"42043020500",27,,8888,8888,,,,,,,,,,
"PAA00000016","ALMOND STREET COMMONS","1207 ALMOND ST","WILLIAMSPORT",PA,"17701",41.254232,-76.988072,"42081000100",24,,8888,8888,,,,,,,,,,
"PAA00000018","ARLINGTON MANOR APTS","801 ARLINGTON DR","GREENVILLE",PA,"16125",41.348222,-80.407934,"42085032402",48,,8888,8888,,,,,,,,,,
"PAA00000021","ASTER PLACE APTS","","LITITZ",PA,"17543",40.1518,-76.2988,"42XXXXXXXXX",66,,8888,8888,,,,,,,,,1,
"PAA00000022","BANCROFT COURT","1604 W ALLEGHENY AVE","PHILADELPHIA",PA,"19132",40.0019,-75.156539,"42101020101",60,,8888,8888,,,,,,,,,,
"PAA00000025","BELMONT AFFORDABLE HSNG IV","878 N 41ST 4114 PARRISH 855","PHILADELPHIA",PA,"",,,"42XXXXXXXXX",7,,8888,8888,,,,,,,,,,
"PAA00000026","BENSALEM VETERANS APTS","3063 MECHANICSVILLE RD","BENSALEM",PA,"19020",40.11224,-74.95201,"42017100208",40,,8888,2012,,,,,,,,,,
"PAA00000027","CAMBRIDGE SQUARE APTS","200 CAMBRIDGE SQ DR","MONROEVILLE",PA,"15146",40.4157,-79.7891,"42003521302",204,,8888,8888,,,,,,,,,,
"PAA00000028","CANAL PARK APTS","602 CANAL PARK","EASTON",PA,"18042",40.679984,-75.223439,"42XXXXXXXXX",27,,8888,8888,,,,,,,,,1,
"PAA00000031","CARSON RETIREMENT RESIDENCE","2850 E CARSON ST","PITTSBURGH",PA,"15203",40.425276,-79.964586,"42003160900",69,,8888,8888,,,,,,,,,,
